Country,%Annual_Growth_imports_goods_services,%Access_Electricity,%Land_Arable,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total).csv",CO2_Metric_tons_/capita,External_debt_stock_%GNI,Fertility_rate_births/woman,/Capita_GDP_Growth(annual),Govt_Expenditure_Education(%GDP),Adult_female_literacy_rate(15 + up),"Literacy rate, adult male (% of males ages 15 and above)",Net migration,Population growth (annual %),Renewable energy consumption (% of total final energy consumption),trade%gdp,Agricultural Land (%Land),"Agriculture, Forest,Fishing, Value Added (%) GDP)",Children in Employment (% Male),High-tech Exports ($),"Industry, Value Added (%GDP)",Population in Slums (% Urban Population),Rural population (% total Population),"School enrollment, primary and secondary (gross), gender parity index",Urban Population (% of total population),Gini
GE,10.26451085,100,4.950352569,2.753144065,2.717167113,101.6005961,2.06,5.156371879,3.52105999,99.2947464,99.43752289,268179.1,0.013386075,28.66253881,118.6468046,34.45100014,6.504589282,33.6,19353258,20.3125586,34.09999847,1523815,1.00751996,59.039,36.4
DE,2.560280431,100,33.67013968,4.759985416,8.840128794,51.53456,1.57,0.280856539,4.905119896,4.49542,87.8896,2719112,0.273451074,14.2062527,87.98912744,47.67861232,0.721821951,21,2.09E+11,26.70373001,0.01,18798952,0.960990012,77.376,31.9
GH,1.669136308,82.39457703,20.65570889,45.23819591,0.585289432,41.14119861,3.87,4.200436672,3.989439964,74.47438812,83.52458191,150000,2.162577887,41.41279431,71.37819082,68.99885734,17.30634537,28.83964,9928827,31.99322087,30.39999962,13168802,1.008170009,56.707,43.5
GR,2.482931026,100,16.60201707,12.85460659,5.793848369,51.53456,1.35,2.028291703,3.963959932,97.39409637,98.50704956,113586,0.128880433,17.17004755,74.38446689,47.60279286,3.654929225,21,1778210448,15.28280731,3,2209023,0.975350022,79.388,34.4
GT,5.57426278,94.69546509,8.044046286,22.30970346,1.059947788,35.24940406,2.87,2.237097307,3.212199926,76.37065887,86.75615692,268179.1,1.560386048,63.65099179,45.86559654,35.98357596,9.365381622,10.03780301,241853800,21.91668523,31,8063081,0.97183001,51.439,48.3
GN,18.25079233,44,12.61598567,57.96012489,0.255224608,23.53594762,4.7,2.648714213,2.315939903,21.96224976,43.64009094,268179.1,2.834575382,76.26839132,76.20095503,59.01025558,23.63852358,40.3,799558,23.72528423,50.09999847,8109741,0.785929978,36.5,33.7
GW,18.19741692,28.66202164,10.6685633,57.6206587,0.164583657,44.19976341,4.476,2.061873241,2.13248992,30.76851082,62.15797043,268179.1,2.456522095,86.85179394,57.00855584,57.9658606,52.53759566,65.34952483,16399628226,13.19698353,74.40000153,1080000,0.644640029,43.777,50.7
HT,3.582251995,45.27788925,38.82438316,24.65623326,0.274687476,15.39365731,2.935,0.38079797,2.780469894,58.30052185,65.27764893,268179.1,1.249899403,76.07221323,47.35457929,66.76342525,19.38274919,40.3,16399628226,23.31653872,65.90000153,4934129,0.984406,56.192,41.1
HN,2.169109446,91.88720703,9.116096166,10.68342369,1.058473626,42.13632822,2.46,0.982330295,6.06746006,87.26555634,87.13764191,268179.1,1.640648793,51.53741358,96.61335126,28.9123246,10.72196511,15.11724,12634974,27.38690563,38.59999847,4119684,1.04629004,57.73,52.1
HU,7.515330841,100,47.76317243,1.976896912,4.639973434,51.53456,1.55,4.638293798,4.667099953,99.09999847,99.16000366,29999,1.35,15.55936205,161.2577302,58.35634596,3.357050457,21,18527224783,24.96187643,13.60000038,2770705,0.994589984,71.644,30.6
